pair,SVM_predict,RF_predict,XGB_predict
"octyltriethylammonium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
1-methyl-1-octylpyrrolidinium bis(pentafluoroethylsulfonyl)imide,0,0,0
butyltriethylammonium bromide,1,1,1
1-methyl-1-propylpiperidinium bis(pentafluoroethylsulfonyl)imide,0,0,0
methylammonium bis(trifluoromethylsulfonyl)imide,1,1,1
butyltriethylammonium methanesulfonate,1,1,1
1-methyl-1-octylpyrrolidinium formate,0,0,0
1-butyl-2-methylpyridinium dihydrogen phosphate,0,0,0
"1,2-dimethylimidazolium thiocyanate",0,0,0
1-ethylpyridinium thiocyanate,0,0,1
1-propyl-2-methylpyridinium decanoate,0,0,0
"1,3-didecyl-2-methylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",1,1,1
1-methyl-3-tetradecylimidazolium dihydrogen phosphate,1,1,1
1-butyl-3-vinylimidazolium dicyanamide,0,0,0
1-ethyl-2-methylpyridinium dibutylphosphate,0,0,0
1-butyl-1-methylpyrrolidinium decanoate,0,0,0
"1,2-dimethyl-3-propylimidazolium bis(pentafluoroethylsulfonyl)imide",0,0,0
1-hexadecyl-3-methylimidazolium diethyl phosphate,1,1,1
"1,3-didecyl-2-methylimidazolium bis(trifluoromethylsulfonyl)imide",1,1,0
triethylsulfonium tosylate,0,0,0
2-hydroxyethylammonium decanoate,0,1,0
1-ethyl-3-propylimidazolium dihydrogen phosphate,0,0,0
n-ethyl-n-methyl-n-propylammonium tosylate,1,1,1
"tributyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
1-ethyl-2-methylpyridinium hexafluorophosphate,1,1,1
2-methyl-1-propylpyridinium tetrafluoroborate,1,1,0
"1-butyl-2,3-dimethylimidazolium dimethyl phosphate",0,0,1
1-hexyl-1-methylpyrrolidinium perfluorobutanesulfonate,0,0,0
tributylmethylphosphonium triflate,1,1,1
1-butyl-3-vinylimidazolium methyl sulfate,0,0,0
tributylmethylammonium chloride,1,1,1
1-ethyl-3-methylimidazolium dihydrogen phosphate,0,0,0
1-hexyl-3-methylimidazolium bis(fluorosulfonyl)imide,0,0,0
"1-butyl-2,3-dimethylimidazolium hydrogensulfate",0,1,1
butyltriethylammonium acetate,0,0,0
1-benzyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide,0,0,0
triethylsulfonium decanoate,0,0,0
octyltriethylammonium tosylate,0,0,0
1-methyl-3-tetradecylimidazolium dibutylphosphate,1,1,1
1-butyl-1-methylpiperidinium dibutylphosphate,0,0,0
triethylsulfonium bis(fluorosulfonyl)imide,0,0,0
butyltriethylammonium trifluoroacetate,1,1,0
hexadecyltrimethylammonium dimethyl phosphate,1,1,1
1-hexyl-1-methylpyrrolidinium dibutylphosphate,0,0,0
butyltrimethylammonium hexafluorophosphate,1,1,1
octyltriethylammonium bis(pentafluoroethylsulfonyl)imide,0,0,0
