pair,SVM_predict,RF_predict,XGB_predict
1-butyl-3-methylimidazolium ethyl sulfate,4.172515642426418,4.395209526274992,4.1368456
1-methyl-3-octylimidazolium dibutylphosphate,4.311373087405654,4.211210950776417,4.5461826
1-hexylpyridinium hydrogensulfate,4.1097134326759495,4.307526007442068,3.645376
1-propyl-2-methylpyridinium thiocyanate,4.082727888108578,3.3579481074481072,3.1513846
1-ethyl-3-methylimidazolium decanoate,4.2895564855318575,4.095143723885661,4.6502156
1-ethyl-3-propylimidazolium bis(pentafluoroethylsulfonyl)imide,4.446662318460102,4.451378634478425,4.1302104
1-butyl-3-methylimidazolium tricyanomethanide,4.16727958690808,4.0498363193804625,4.0436378
1-ethyl-3-propylimidazolium bis(trifluoromethylsulfonyl)imide,4.477293750730422,4.451378634478425,4.5374584
n-ethyl-n-methyl-n-propylammonium bis(trifluoromethylsulfonyl)imide,4.467777776858216,5.612686274509803,5.085007
1-butyl-2-methylpyridinium decanoate,4.300660272134855,4.002046949692112,4.4568267
1-heptyl-3-methylimidazolium methanesulfonate,4.1643996136868395,4.4450613781268435,4.2266426
1-hexylpyridinium bis(pentafluoroethylsulfonyl)imide,4.4002194951209725,4.2598315678872165,3.862381
"1-ethyl-3-vinylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",4.339629978199634,4.328994151236087,4.205739
2-methyl-1-propylpyridinium dibutylphosphate,4.299632985367997,4.261003065471757,3.8142633
1-propyl-4-methylpyridinium tetrafluoroborate,4.130365676633647,3.8027882811987674,3.4927917
triethylsulfonium bis(pentafluoroethylsulfonyl)imide,4.4209748922115795,4.692599839665306,4.0895705
1-ethylimidazolium bis(2-ethylhexyl)phosphate,4.275824576684943,4.216564468980529,3.5879817
ethylammonium acetate,4.193832135592797,4.5878583638583645,3.4494073
1-allyl-3-methylimidazolium ethyl sulfate,4.099668354702149,4.163675476095781,3.8870587
1-ethyl-4-methylpyridinium trifluoroacetate,4.09659099544317,4.169028994299893,3.768249
trimethylsulfonium bis(pentafluoroethylsulfonyl)imide,4.410409353284583,4.940567096212257,4.0895705
1-ethyl-3-vinylimidazolium tricyanomethanide,4.120131305906397,3.5473599383073067,3.734818
2-hydroxyethylammonium hydrogensulfate,4.161795313962479,4.800147812971342,3.6445522
1-hexylpyridinium diethyl phosphate,4.183373015475387,4.209075715044407,4.390027
"1-hexylpyridinium bis(2,4,4-trimethylpentyl)phosphinate",4.3270818451338675,4.09300848815365,3.8353655
1-decyl-3-methylimidazolium methyl sulfate,4.194831263704298,4.4450613781268435,4.4262414
1-heptyl-3-methylimidazolium acetate,4.108482786849921,4.28455555474486,3.8516088
1-ethyl-3-vinylimidazolium methyl sulfate,4.098486834360901,4.306564364984669,3.219385
1-ethyl-3-vinylimidazolium bis(2-ethylhexyl)phosphate,4.280727114854973,4.354099839665305,4.4019785
"1-propyl-2-methylpyridinium bis(2,4,4-trimethylpentyl)phosphinate",4.3533993006964895,4.09300848815365,4.061535
trihexyltetradecylphosphonium tricyanomethanide,4.16208964375159,4.28455555474486,3.9783244
tributylmethylphosphonium bis(pentafluoroethylsulfonyl)imide,4.441343133563027,4.570494576507411,3.9127035
1-propyl-3-methylpyridinium triflate,4.160460800040709,4.169028994299893,3.774629
diethylmethylammonium formate,4.110036226501436,4.496896825396826,3.8939316
1-allyl-3-methylimidazolium hydrogensulfate,4.054265459779587,3.7596493874202856,3.722818
