pair,SVM_predict,RF_predict,XGB_predict
diethylmethylammonium tetrafluoroborate,1,1,1
1-hexyl-3-methylimidazolium ethyl sulfate,0,0,0
1-butyl-1-methylpyrrolidinium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-ethyl-3-vinylimidazolium diethyl phosphate,0,0,0
1-butyl-3-ethylimidazolium triflate,0,0,0
"1,2-dimethylimidazolium ethyl sulfate",0,0,0
1-methyl-1-propylpiperidinium bis(2-ethylhexyl)phosphate,0,0,0
1-butylpyridinium dicyanamide,1,1,1
1-ethylpyridinium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-hexylpyridinium methanesulfonate,0,0,0
1-allyl-3-methylimidazolium hydrogensulfate,0,0,0
1-butylpyridinium tricyanomethanide,1,1,1
n-ethyl-n-methyl-n-propylammonium ethyl sulfate,0,0,0
"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",0,0,0
1-propyl-3-methylpyridinium bis(fluorosulfonyl)imide,0,1,1
"1-butyl-2,3-dimethylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
"1,2-dimethyl-3-propylimidazolium bis(2-ethylhexyl)phosphate",0,0,0
1-ethylimidazolium thiocyanate,1,1,1
1-benzyl-3-methylimidazolium bis(2-ethylhexyl)phosphate,0,0,0
"1,2-dimethylimidazolium dimethyl phosphate",0,0,0
trihexyltetradecylphosphonium nitrate,0,0,0
1-propyl-3-methylpyridinium hydrogensulfate,0,0,0
1-methyl-3-nonylimidazolium tetrafluoroborate,0,0,0
triethylsulfonium bis(2-ethylhexyl)phosphate,0,0,0
1-butyl-3-methylpyridinium dibutylphosphate,0,0,0
"1-propyl-2-methylpyridinium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
diethylmethylsulfonium ethyl sulfate,1,1,1
1-ethyl-4-methylpyridinium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-allyl-3-methylimidazolium diethyl phosphate,0,0,0
1-butyl-2-methylpyridinium trifluoroacetate,0,0,0
1-methyl-1-propylpyrrolidinium diethyl phosphate,0,0,0
"1,2-dimethyl-3-propylimidazolium bis(fluorosulfonyl)imide",1,0,0
1-ethyl-2-methylpyridinium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-butylpyridinium dibutylphosphate,0,0,0
1-dodecyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-butyl-2-methylpyridinium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-allyl-3-methylimidazolium triflate,0,0,0
1-butylpyridinium bis(2-ethylhexyl)phosphate,0,0,0
1-ethyl-3-vinylimidazolium methyl sulfate,0,0,0
1-ethyl-3-methylpyridinium trifluoroacetate,0,0,0
1-methyl-3-nonylimidazolium dibutylphosphate,0,0,0
1-ethyl-4-methylpyridinium tosylate,0,0,0
1-methyl-3-propylimidazolium acetate,0,0,0
1-hexyl-1-methylpyrrolidinium bis(fluorosulfonyl)imide,0,0,0
1-hexylpyridinium bis(2-ethylhexyl)phosphate,0,0,0
1-propyl-4-methylpyridinium formate,0,0,0
1-methyl-3-nonylimidazolium hexafluorophosphate,0,0,0
1-butyl-4-methylpyridinium dicyanamide,1,0,1
triisobutylmethylphosphonium diethyl phosphate,0,0,0
1-butyl-3-vinylimidazolium bis(fluorosulfonyl)imide,0,0,0
"1-ethyl-3-propylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
tributyltetradecylphosphonium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-butyl-3-vinylimidazolium methyl sulfate,0,0,0
1-butyl-3-methylimidazolium formate,0,0,0
1-butyl-3-ethylimidazolium dibutylphosphate,0,0,0
1-butyl-3-ethylimidazolium nitrate,1,0,0
1-butyl-1-methylpiperidinium dibutylphosphate,0,0,0
tributylmethylphosphonium bis(trifluoromethylsulfonyl)imide,0,0,0
1-methyl-1-octylpyrrolidinium bis(2-ethylhexyl)phosphate,0,0,0
trihexyltetradecylphosphonium trifluoroacetate,0,0,0
1-hexyl-3-methylimidazolium methyl sulfate,0,0,0
2-hydroxyethylammonium diethyl phosphate,0,0,0
1-propylpyridinium tricyanomethanide,1,1,1
"1-ethylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
1-heptyl-3-methylimidazolium dibutylphosphate,0,0,0
choline dicyanamide,1,1,1
"1-butyl-3-ethylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
"1,3-diethylimidazolium bis(fluorosulfonyl)imide",1,0,1
1-ethyl-3-propylimidazolium dihydrogen phosphate,0,0,0
1-methyl-1-propylpyrrolidinium decanoate,0,0,0
1-hexyl-3-methylimidazolium dimethyl phosphate,0,0,0
"1,3-diethylimidazolium ethyl sulfate",0,0,0
1-butyl-3-vinylimidazolium dibutylphosphate,0,0,0
1-hexyl-3-methylimidazolium dicyanamide,1,0,0
1-methyl-3-propylimidazolium dibutylphosphate,0,0,0
"1,3-diethylimidazolium dicyanamide",1,1,1
octyltriethylammonium decanoate,0,0,0
1-ethyl-4-methylpyridinium dimethyl phosphate,0,0,0
"1-ethyl-2,3-dimethylimidazolium thiocyanate",1,1,1
1-butyl-3-ethylimidazolium methyl sulfate,0,0,0
1-methyl-1-propylpyrrolidinium bis(2-ethylhexyl)phosphate,0,0,0
octyltriethylammonium bis(fluorosulfonyl)imide,0,0,0
1-butyl-2-methylpyridinium formate,0,0,0
1-methyl-3-octylimidazolium acetate,0,0,0
1-(2-hydroxyethyl)-3-methylimidazolium thiocyanate,1,1,0
1-butyl-3-ethylimidazolium thiocyanate,1,0,0
1-(2-methoxyethyl)-3-methylimidazolium diethyl phosphate,0,0,0
1-methyl-3-pentylimidazolium decanoate,0,0,0
1-methyl-1-propylpyrrolidinium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-propyl-3-methylpyridinium dibutylphosphate,0,0,0
1-butyl-4-methylpyridinium formate,0,0,0
"1-heptyl-3-methylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
choline bis(pentafluoroethylsulfonyl)imide,0,0,0
1-butyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-ethyl-3-propylimidazolium dibutylphosphate,0,0,0
ethylammonium ethyl sulfate,0,1,0
triethylsulfonium bis(fluorosulfonyl)imide,1,1,1
1-ethylimidazolium acetate,0,0,0
1-(2-hydroxyethyl)-3-methylimidazolium trifluoroacetate,0,0,0
1-methyl-3-pentylimidazolium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-ethyl-4-methylpyridinium thiocyanate,1,1,1
1-allyl-3-methylimidazolium bis(fluorosulfonyl)imide,1,1,1
diethylmethylammonium dimethyl phosphate,0,0,0
1-ethyl-3-propylimidazolium dicyanamide,1,1,1
"1-butyl-2,3-dimethylimidazolium trifluoroacetate",0,0,0
1-butyl-3-ethylimidazolium methanesulfonate,0,0,0
"1-ethyl-2,3-dimethylimidazolium acetate",0,0,0
tributylmethylammonium bis(fluorosulfonyl)imide,0,0,0
1-benzyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-benzyl-3-methylimidazolium dimethyl phosphate,0,0,0
1-butyl-4-methylpyridinium decanoate,0,0,0
1-methyl-3-propylimidazolium trifluoroacetate,0,0,0
ethylammonium formate,0,0,0
2-methyl-1-propylpyridinium dicyanamide,1,1,1
1-butyl-3-ethylimidazolium tricyanomethanide,1,1,0
octyltriethylammonium formate,0,0,0
1-allyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-methyl-3-nonylimidazolium bis(fluorosulfonyl)imide,0,0,0
1-methyl-1-octylpyrrolidinium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-decyl-3-methylimidazolium dibutylphosphate,0,0,0
1-hexylpyridinium thiocyanate,1,0,0
1-ethyl-4-methylpyridinium ethyl sulfate,0,0,0
1-hexyl-3-methylimidazolium decanoate,0,0,0
1-hexyl-1-methylpyrrolidinium bis(pentafluoroethylsulfonyl)imide,0,0,0
tributyltetradecylphosphonium tricyanomethanide,0,0,0
"tributyltetradecylphosphonium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
tributylmethylammonium decanoate,0,0,0
"1-propyl-4-methylpyridinium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
tributyltetradecylphosphonium bis(trifluoromethylsulfonyl)imide,0,0,0
diethylmethylammonium acetate,0,0,0
triisobutylmethylphosphonium dicyanamide,1,0,0
1-methyl-1-octylpyrrolidinium tricyanomethanide,1,0,0
1-butyl-4-methylpyridinium methanesulfonate,0,0,0
1-butylpyridinium methyl sulfate,0,0,0
"1-butyl-2,3-dimethylimidazolium dibutylphosphate",0,0,0
1-methyl-3-octylimidazolium dicyanamide,1,0,0
1-allyl-3-methylimidazolium tricyanomethanide,1,1,1
1-butyl-3-methylpyridinium hydrogensulfate,0,0,0
1-butylpyridinium methanesulfonate,0,0,0
1-(2-methoxyethyl)-3-methylimidazolium methyl sulfate,0,0,0
butyltrimethylammonium dicyanamide,1,1,1
1-decyl-3-methylimidazolium ethyl sulfate,0,0,0
"1-ethyl-2,3-dimethylimidazolium decanoate",0,0,0
2-methyl-1-propylpyridinium acetate,0,0,0
1-ethyl-3-propylimidazolium bis(trifluoromethylsulfonyl)imide,0,0,0
1-butyl-3-methylpyridinium diethyl phosphate,0,0,0
"1-methyl-3-octylimidazolium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
"1,3-dimethylimidazolium tetrafluoroborate",1,1,1
1-heptyl-3-methylimidazolium dicyanamide,1,0,0
1-allyl-3-methylimidazolium methyl sulfate,0,0,0
1-ethyl-3-methylpyridinium decanoate,0,0,0
"1-ethyl-2,3-dimethylimidazolium bis(fluorosulfonyl)imide",1,0,0
"1,3-diethylimidazolium bis(pentafluoroethylsulfonyl)imide",0,0,1
n-ethyl-n-methyl-n-propylammonium dibutylphosphate,0,0,0
"1-ethyl-2,3-dimethylimidazolium diethyl phosphate",0,0,0
1-ethyl-4-methylpyridinium triflate,0,0,0
1-hexyl-1-methylpyrrolidinium dibutylphosphate,0,0,0
"triethylsulfonium bis(2,4,4-trimethylpentyl)phosphinate",0,0,0
1-ethylimidazolium decanoate,0,0,0
1-butyl-4-methylpyridinium dibutylphosphate,0,0,0
1-butyl-3-vinylimidazolium perfluorobutanesulfonate,0,0,0
"1-butyl-2,3-dimethylimidazolium formate",0,0,0
1-ethyl-3-vinylimidazolium thiocyanate,1,1,1
butyltriethylammonium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-ethylimidazolium trifluoroacetate,0,1,0
1-(2-methoxyethyl)-3-methylimidazolium nitrate,0,0,1
1-ethyl-3-vinylimidazolium trifluoroacetate,0,0,0
1-heptyl-3-methylimidazolium bis(2-ethylhexyl)phosphate,0,0,0
1-ethyl-4-methylpyridinium formate,0,0,0
diethylmethylammonium tricyanomethanide,1,1,1
"1-butyl-2,3-dimethylimidazolium methyl sulfate",0,0,0
1-ethyl-3-vinylimidazolium methanesulfonate,0,0,0
1-hexylpyridinium tricyanomethanide,1,0,0
1-butyl-3-methylpyridinium tricyanomethanide,1,1,1
1-butyl-3-methylpyridinium methyl sulfate,0,0,0
"1-butyl-2,3-dimethylimidazolium bis(2-ethylhexyl)phosphate",0,0,0
octyltriethylammonium dibutylphosphate,0,0,0
1-butyl-4-methylpyridinium diethyl phosphate,0,0,0
ethyltributylphosphonium formate,0,0,0
diethylmethylsulfonium methyl sulfate,0,1,0
"1-ethyl-2,3-dimethylimidazolium dicyanamide",1,1,1
"1-ethyl-2,3-dimethylimidazolium bis(2-ethylhexyl)phosphate",0,0,0
"1,2-dimethyl-3-propylimidazolium diethyl phosphate",0,0,0
2-methyl-1-propylpyridinium bis(pentafluoroethylsulfonyl)imide,0,0,0
1-methyl-3-pentylimidazolium bromide,0,0,0
1-butyl-3-methylimidazolium trifluoroacetate,0,0,0
1-butyl-3-ethylimidazolium acetate,0,0,0
1-ethyl-3-propylimidazolium acetate,0,0,0
1-propyl-4-methylpyridinium bis(pentafluoroethylsulfonyl)imide,0,0,0
2-hydroxyethylammonium acetate,0,0,0
1-propyl-4-methylpyridinium methanesulfonate,0,0,0
butyltriethylammonium bis(2-ethylhexyl)phosphate,0,0,0
1-propyl-2-methylpyridinium decanoate,0,0,0
1-hexylpyridinium trifluoroacetate,0,0,0
1-(2-methoxyethyl)-3-methylimidazolium dicyanamide,1,1,1
"1,2-dimethyl-3-propylimidazolium dicyanamide",1,1,1
n-ethyl-n-methyl-n-propylammonium bis(trifluoromethylsulfonyl)imide,0,0,0
methyltrioctylammonium bis(2-ethylhexyl)phosphate,0,0,0
