pair_sml,state,conductivity_norm,conductivity
C[N+]1(CCCC)CCCC1.[O-]S(=O)(OCC)=O,0.0,,
C[N+]1(CCCC)CCCC1.O=C([H])[O-],0.0,,
C[N+]1(CCCC)CCCC1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,,
C[N+]1(CCCC)CCCC1.[O-]P(OCCCC)(OCCCC)=O,0.0,,
C[N+]1(CCCC)CCCC1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,,
C[N+]1(CCCC)CCCC1.O=C(C(F)(F)F)[O-],0.0,,
C[N+]1(CCCC)CCCC1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,,
C[N+]1(CCCC)CCCC1.[O-]P(OCC)(OCC)=O,0.0,,
C[N+]1(CCCC)CCCC1.[O-]P(OC)(OC)=O,0.0,,
C[N+]1(CCCC)CCCC1.O=C(CCCCCCCCC)[O-],0.0,,
CN1C=C[N+](CCCC)=C1C.[S-]C#N,0.0,,
CN1C=C[N+](CCCC)=C1C.O=C(C)[O-],0.0,,
CN1C=C[N+](CCCC)=C1C.[O-]S(=O)(OCC)=O,0.0,,
CN1C=C[N+](CCCC)=C1C.[O-]S(=O)(CCCC)=O,0.0,,
CN1C=C[N+](CCCC)=C1C.O=C([H])[O-],0.0,,
CN1C=C[N+](CCCC)=C1C.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,,
CN1C=C[N+](CCCC)=C1C.[O-]P(OCCCC)(OCCCC)=O,0.0,,
CN1C=C[N+](CCCC)=C1C.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,,
CN1C=C[N+](CCCC)=C1C.O=C(C(F)(F)F)[O-],0.0,,
CN1C=C[N+](CCCC)=C1C.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,,
CN1C=C[N+](CCCC)=C1C.[O-]P(OCC)(OCC)=O,0.0,,
CN1C=C[N+](CCCC)=C1C.[O-]P(OC)(OC)=O,0.0,,
CN1C=C[N+](CCCC)=C1C.[O-]S(=O)(OC)=O,0.0,,
CN1C=C[N+](CCCC)=C1C.N#C[N-]C#N,0.0,,
CN1C=C[N+](CCCC)=C1C.[O-][N+]([O-])=O,0.0,,
CN1C=C[N+](CCCC)=C1C.N#C[C-](C#N)C#N,-0.0,,
CN1C=C[N+](CCCC)=C1C.O=C(CCCCCCCCC)[O-],0.0,,
CC1=CC=CC=[N+]1CCCC.[S-]C#N,0.0,,
CC1=CC=CC=[N+]1CCCC.O=C(C)[O-],0.0,,
CC1=CC=CC=[N+]1CCCC.[O-]S(=O)(OCC)=O,0.0,,
CC1=CC=CC=[N+]1CCCC.[O-]S(=O)(CCCC)=O,0.0,,
CC1=CC=CC=[N+]1CCCC.O=C([H])[O-],0.0,,
CC1=CC=CC=[N+]1CCCC.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,,
CC1=CC=CC=[N+]1CCCC.[O-]P(OCCCC)(OCCCC)=O,0.0,,
CC1=CC=CC=[N+]1CCCC.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,,
CC1=CC=CC=[N+]1CCCC.O=C(C(F)(F)F)[O-],0.0,,
CC1=CC=CC=[N+]1CCCC.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,,
CC1=CC=CC=[N+]1CCCC.[O-]P(OCC)(OCC)=O,0.0,,
CC1=CC=CC=[N+]1CCCC.[O-]P(OC)(OC)=O,0.0,,
CC1=CC=CC=[N+]1CCCC.[O-]S(=O)(OC)=O,0.0,,
CC1=CC=CC=[N+]1CCCC.N#C[N-]C#N,0.0,,
CC1=CC=CC=[N+]1CCCC.N#C[C-](C#N)C#N,0.0,,
CC1=CC=CC=[N+]1CCCC.O=C(CCCCCCCCC)[O-],0.0,,
CN1C=C[N+](CCCC)=C1.[O-]S(=O)(OCC)=O,0.0,,
CN1C=C[N+](CCCC)=C1.[O-]S(=O)(CCCC)=O,0.0,,
CN1C=C[N+](CCCC)=C1.O=C([H])[O-],0.0,,
CN1C=C[N+](CCCC)=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,-0.0,,
CN1C=C[N+](CCCC)=C1.[O-]P(O)(O)=O,0.0,,
CN1C=C[N+](CCCC)=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,-0.0,,
CN1C=C[N+](CCCC)=C1.[O-]P(OCC)(OCC)=O,-0.0,,
CN1C=C[N+](CCCC)=C1.O=C(CCCCCCCCC)[O-],0.0,,
CC1=CC=C[N+](CCCC)=C1.[S-]C#N,0.0,,
CC1=CC=C[N+](CCCC)=C1.O=C(C)[O-],0.0,,
CC1=CC=C[N+](CCCC)=C1.[O-]S(=O)(OCC)=O,0.0,,
CC1=CC=C[N+](CCCC)=C1.[O-]S(=O)(CCCC)=O,0.0,,
CC1=CC=C[N+](CCCC)=C1.O=C([H])[O-],0.0,,
CC1=CC=C[N+](CCCC)=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,,
CC1=CC=C[N+](CCCC)=C1.[O-]P(OCCCC)(OCCCC)=O,0.0,,
CC1=CC=C[N+](CCCC)=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,,
CC1=CC=C[N+](CCCC)=C1.O=C(C(F)(F)F)[O-],0.0,,
CC1=CC=C[N+](CCCC)=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,,
CC1=CC=C[N+](CCCC)=C1.[O-]P(OCC)(OCC)=O,0.0,,
CC1=CC=C[N+](CCCC)=C1.[O-]P(OC)(OC)=O,0.0,,
CC1=CC=C[N+](CCCC)=C1.[O-]S(=O)(OC)=O,0.0,,
CC1=CC=C[N+](CCCC)=C1.N#C[N-]C#N,0.0,,
CC1=CC=C[N+](CCCC)=C1.[O-][N+]([O-])=O,0.0,,
CC1=CC=C[N+](CCCC)=C1.N#C[C-](C#N)C#N,-0.0,,
CC1=CC=C[N+](CCCC)=C1.O=C(CCCCCCCCC)[O-],0.0,,
C=CN1C=C[N+](CCCC)=C1.C(F)(F)(F)S(=O)(=O)[O-],0.0,,
C=CN1C=C[N+](CCCC)=C1.[S-]C#N,0.0,,
C=CN1C=C[N+](CCCC)=C1.O=C(C)[O-],0.0,,
C=CN1C=C[N+](CCCC)=C1.[O-]S(=O)(OCC)=O,0.0,,
C=CN1C=C[N+](CCCC)=C1.[O-]S(=O)(O)=O,0.0,,
C=CN1C=C[N+](CCCC)=C1.[O-]S(=O)(C)=O,0.0,,
C=CN1C=C[N+](CCCC)=C1.[O-]S(=O)(C1=CC=C(C)C=C1)=O,0.0,,
C=CN1C=C[N+](CCCC)=C1.[O-]S(=O)(CCCC)=O,0.0,,
C=CN1C=C[N+](CCCC)=C1.O=C([H])[O-],-0.0,,
C=CN1C=C[N+](CCCC)=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,-0.0,,
C=CN1C=C[N+](CCCC)=C1.[O-]S(=O)(C(F)(F)C(F)F)=O,0.0,,
C=CN1C=C[N+](CCCC)=C1.[O-]P(OCCCC)(OCCCC)=O,-0.0,,
C=CN1C=C[N+](CCCC)=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,-0.0,,
C=CN1C=C[N+](CCCC)=C1.[O-]P(O)(O)=O,0.0,,
C=CN1C=C[N+](CCCC)=C1.O=C(C(F)(F)F)[O-],-0.0,,
C=CN1C=C[N+](CCCC)=C1.[O-]S(=O)(C1=CC=C(CCCCCCCCCCCC)C=C1)=O,0.0,,
C=CN1C=C[N+](CCCC)=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,-0.0,,
C=CN1C=C[N+](CCCC)=C1.[O-]P(OCC)(OCC)=O,-0.0,,
C=CN1C=C[N+](CCCC)=C1.[O-]P(OC)(OC)=O,0.0,,
C=CN1C=C[N+](CCCC)=C1.[O-]S(=O)(OC)=O,0.0,,
C=CN1C=C[N+](CCCC)=C1.N#C[N-]C#N,-0.0,,
C=CN1C=C[N+](CCCC)=C1.[O-][N+]([O-])=O,0.0,,
C=CN1C=C[N+](CCCC)=C1.N#C[C-](C#N)C#N,-0.0,,
C=CN1C=C[N+](CCCC)=C1.O=C(CCCCCCCCC)[O-],0.0,,
C=CN1C=C[N+](CCCC)=C1.F[B-](F)(F)F,0.0,,
C=CN1C=C[N+](CCCC)=C1.[N-](S(=O)(=O)F)S(=O)(=O)F,0.0,,
CC1=CC=[N+](CCCC)C=C1.[S-]C#N,0.0,,
CC1=CC=[N+](CCCC)C=C1.O=C(C)[O-],0.0,,
CC1=CC=[N+](CCCC)C=C1.[O-]S(=O)(OCC)=O,0.0,,
CC1=CC=[N+](CCCC)C=C1.[O-]S(=O)(CCCC)=O,0.0,,
CC1=CC=[N+](CCCC)C=C1.O=C([H])[O-],0.0,,
CC1=CC=[N+](CCCC)C=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,,
CC1=CC=[N+](CCCC)C=C1.[O-]P(OCCCC)(OCCCC)=O,0.0,,
CC1=CC=[N+](CCCC)C=C1.O=S([N-]S(=O)(C(F)(F)C(F)(F)F)=O)(C(F)(F)C(F)(F)F)=O,0.0,,
CC1=CC=[N+](CCCC)C=C1.O=C(C(F)(F)F)[O-],0.0,,
CC1=CC=[N+](CCCC)C=C1.[O-]P(CC(CC(C)C)C)(CC(CC(C)(C)C)C)=O,0.0,,
CC1=CC=[N+](CCCC)C=C1.[O-]P(OCC)(OCC)=O,0.0,,
CC1=CC=[N+](CCCC)C=C1.[O-]P(OC)(OC)=O,0.0,,
CC1=CC=[N+](CCCC)C=C1.[O-]S(=O)(OC)=O,0.0,,
CC1=CC=[N+](CCCC)C=C1.N#C[N-]C#N,-0.0,,
CC1=CC=[N+](CCCC)C=C1.[O-][N+]([O-])=O,0.0,,
CC1=CC=[N+](CCCC)C=C1.O=C(CCCCCCCCC)[O-],0.0,,
CCCC[N+]1=CC=CC=C1.C(F)(F)(F)S(=O)(=O)[O-],0.0,,
CCCC[N+]1=CC=CC=C1.[S-]C#N,0.0,,
CCCC[N+]1=CC=CC=C1.O=C(C)[O-],0.0,,
CCCC[N+]1=CC=CC=C1.[O-]S(=O)(OCC)=O,0.0,,
CCCC[N+]1=CC=CC=C1.[O-]S(=O)(CCCC)=O,0.0,,
CCCC[N+]1=CC=CC=C1.O=C([H])[O-],0.0,,
CCCC[N+]1=CC=CC=C1.[O-]P(OCC(CC)CCCC)(OCC(CCCC)CC)=O,0.0,,
CCCC[N+]1=CC=CC=C1.[O-]P(OCCCC)(OCCCC)=O,0.0,,
