label,conductivity,ECW,density,melting_point,viscosity,formula,T_conductivity,T_density,T_viscosity,cation,anion,conductivity_norm,viscosity_norm,density_norm,cation_type,anion_type
1-Ethyl-3-methylimidazolium hydrogensulfate,0.5,,1.36,<RT,1510.0,C6H12N2O4S,20.0,28.0,25.0,1-Ethyl-3-methylimidazolium,hydrogensulfate,0.625,1510.0,1.2142857142857144,imidazolium,sulfate
1-Ethyl-3-methylimidazolium methanesulfonate,3.69,,1.24,<RT,135.0,C7H14N2O3S,30.0,23.0,25.0,1-Ethyl-3-methylimidazolium,methanesulfonate,3.075,135.0,1.3478260869565217,imidazolium,sulfonate
1-Ethyl-3-methylimidazolium methylsulfate,,,1.28,<RT,64.0,C7H14N2O4S,25.0,26.0,25.0,1-Ethyl-3-methylimidazolium,methyl sulfate,,64.0,1.2307692307692308,imidazolium,sulfate
1-Ethyl-3-methylimidazolium nitrate,,,,38,21.3,C6H11N3O3,25.0,25.0,45.0,1-Ethyl-3-methylimidazolium,nitrate,,11.833333333333334,,imidazolium,nitrate
1-Ethyl-3-methylimidazolium tetrafluoroborate,14.1,3.6,1.28,15,33.8,C6H11BF4N2,25.0,24.0,25.0,1-Ethyl-3-methylimidazolium,tetrafluoroborate,14.099999999999998,33.8,1.3333333333333335,imidazolium,tetrafluoroborate
1-Ethyl-3-methylimidazolium thiocyanate,17.8,,1.12,-6,24.7,C7H11N3S,25.0,25.0,25.0,1-Ethyl-3-methylimidazolium,thiocyanate,17.8,24.7,1.12,imidazolium,thiocyanate
1-Ethyl-3-methylimidazolium tosylate,0.19,,1.23,34,5214.0,C13H18N2O3S,20.0,20.0,20.0,1-Ethyl-3-methylimidazolium,tosylate,0.2375,6517.5,1.5375,imidazolium,tosylate
1-Ethyl-3-methylimidazolium triflate,9.84,3.9,1.39,-9,39.8,C7H11F3N2O3S,25.0,25.0,25.0,1-Ethyl-3-methylimidazolium,triflate,9.84,39.8,1.39,imidazolium,triflate
1-Ethyl-3-methylimidazolium trifluoroacetate,,,1.31,-14,28.7,C8H11F3N2O2,25.0,25.0,25.0,1-Ethyl-3-methylimidazolium,trifluoroacetate,,28.7,1.31,imidazolium,acetate
1-Ethyl-3-methylpyridinium  bromide,,,,>RT	,,C8H12BrN,25.0,25.0,25.0,1-Ethyl-3-methylpyridinium,bromide,,,,pyridinium,bromide
1-Ethyl-3-methylpyridinium perfluorobutanesulfonate,1.52,4.2,1.52,<RT,194.0,C12H12F9NO3S,30.0,23.0,25.0,1-Ethyl-3-methylpyridinium,perfluorobutanesulfonate,1.2666666666666666,194.0,1.652173913043478,pyridinium,sulfonate
1-Ethyl-3-propylimidazolium  hexafluorophosphate,,,,>RT,,C8H15F6N2P,25.0,25.0,25.0,1-Ethyl-3-propylimidazolium,hexafluorophosphate,,,,imidazolium,phosph
1-Ethyl-3-propylimidazolium  tetrafluoroborate,,,,<RT,,C8H15BF4N2,25.0,25.0,25.0,1-Ethyl-3-propylimidazolium,tetrafluoroborate,,,,imidazolium,tetrafluoroborate
1-Ethyl-3-propylimidazolium bis(trifluoromethylsulfonyl)imide,,,,<RT,,C10H15F6N3O4S2,25.0,25.0,25.0,1-Ethyl-3-propylimidazolium,bis(trifluoromethylsulfonyl)imide,,,,imidazolium,imid
1-Ethyl-3-propylimidazolium bromide,,,,>RT,,C8H15BrN2,25.0,25.0,25.0,1-Ethyl-3-propylimidazolium,bromide,,,,imidazolium,bromide
1-Ethyl-3-vinylimidazolium bis(trifluoromethylsulfonyl)imide,2.69,,1.5,<RT,47.0,C9H11F6N3O4S2,25.0,25.0,25.0,1-Ethyl-3-vinylimidazolium,bis(trifluoromethylsulfonyl)imide,2.69,47.0,1.5,imidazolium,imid
1-Ethyl-3-vinylimidazolium bromide,,,,>RT,,C7H11BrN2,25.0,25.0,25.0,1-Ethyl-3-vinylimidazolium,bromide,,,,imidazolium,bromide
1-Ethyl-4-methylpyridinium  bromide,,,,140,,C8H12BrN,25.0,25.0,25.0,1-Ethyl-4-methylpyridinium,bromide,,,,pyridinium,bromide
