label,conductivity,ECW,density,melting_point,viscosity,formula,T_conductivity,T_density,T_viscosity,cation,anion,conductivity_norm,viscosity_norm,density_norm,cation_type,anion_type
1-Butyl-3-methylpyridinium hexafluorophosphate,,,,52,,C10H16F6NP,25.0,25.0,25.0,1-Butyl-3-methylpyridinium,hexafluorophosphate,,,,pyridinium,phosph
1-Butyl-3-methylpyridinium tetrafluoroborate,1.41,3.7,1.18,<RT,176.0,C10H16BF4N,23.0,25.0,25.0,1-Butyl-3-methylpyridinium,tetrafluoroborate,1.5326086956521738,176.0,1.18,pyridinium,tetrafluoroborate
1-Butyl-3-methylpyridinium triflate,2.35,,1.28,<RT,117.0,C11H16F3NO3S,30.0,25.0,25.0,1-Butyl-3-methylpyridinium,triflate,1.9583333333333335,117.0,1.28,pyridinium,triflate
1-Butyl-3-vinylimidazolium bis(trifluoromethylsulfonyl)imide,1.41,,1.42,<RT,77.4,C11H15F6N3O4S2,25.0,25.0,25.0,1-Butyl-3-vinylimidazolium,bis(trifluoromethylsulfonyl)imide,1.41,77.4,1.42,imidazolium,imid
1-Butyl-3-vinylimidazolium bromide,,,,>RT,,C9H15BrN2,25.0,25.0,25.0,1-Butyl-3-vinylimidazolium,bromide,,,,imidazolium,bromide
1-Butyl-4-methylpyridinium bis(trifluoromethylsulfonyl)imide,4.32,4.2,1.41,10,53.8,C12H16F6N2O4S2,30.0,22.0,25.0,1-Butyl-4-methylpyridinium,bis(trifluoromethylsulfonyl)imide,3.6000000000000005,53.79999999999999,1.602272727272727,pyridinium,imid
1-Butyl-4-methylpyridinium bromide,,,,118,,C10H16BrN,25.0,25.0,25.0,1-Butyl-4-methylpyridinium,bromide,,,,pyridinium,bromide
1-Butyl-4-methylpyridinium chloride,,,,162,,C10H16ClN,25.0,25.0,25.0,1-Butyl-4-methylpyridinium,chloride,,,,pyridinium,chloride
1-Butyl-4-methylpyridinium hexafluorophosphate,,,,45-50,,C10H16F6NP,25.0,25.0,25.0,1-Butyl-4-methylpyridinium,hexafluorophosphate,,,,pyridinium,phosph
1-Butyl-4-methylpyridinium tetrafluoroborate,3.18,,1.18,<RT,342.0,C10H16BF4N,30.0,22.0,20.0,1-Butyl-4-methylpyridinium,tetrafluoroborate,2.6500000000000004,427.50000000000006,1.3409090909090908,pyridinium,tetrafluoroborate
1-Butyl-4-methylpyridinium tricyanomethanide,6.99,,,<RT,32.5,C14H16N4,30.0,25.0,25.0,1-Butyl-4-methylpyridinium,tricyanomethanide,5.825,32.5,,pyridinium,tricyanomethanide
1-Butyl-4-methylpyridinium triflate,2.41,,1.23,<RT,136.0,C11H16F3NO3S,30.0,26.0,25.0,1-Butyl-4-methylpyridinium,triflate,2.0083333333333333,136.0,1.1826923076923077,pyridinium,triflate
1-Butylpyridinium bis(trifluoromethylsulfonyl)imide,1.54,4.2,1.45,<RT,59.0,C11H14F6N2O4S2,25.0,23.0,25.0,1-Butylpyridinium,bis(trifluoromethylsulfonyl)imide,1.54,59.0,1.576086956521739,pyridinium,imid
1-Butylpyridinium bromide,,,,98,,C9H14BrN,25.0,25.0,25.0,1-Butylpyridinium,bromide,,,,pyridinium,bromide
1-Butylpyridinium chloride,,,,131,,C9H14ClN,25.0,25.0,25.0,1-Butylpyridinium,chloride,,,,pyridinium,chloride
1-Butylpyridinium hexafluorophosphate,,,,75-80,,C9H14F6NP,25.0,25.0,25.0,1-Butylpyridinium,hexafluorophosphate,,,,pyridinium,phosph
1-Butylpyridinium tetrafluoroborate,1.94,,1.23,<RT,203.0,C9H14BF4N,23.0,22.0,20.0,1-Butylpyridinium,tetrafluoroborate,2.108695652173913,253.75,1.3977272727272727,pyridinium,tetrafluoroborate
1-Decyl-3-methylimidazolium bromide,0.07,,1.13,<RT,18020.0,C14H27BrN2,25.0,25.0,18.0,1-Decyl-3-methylimidazolium,bromide,0.07,25027.777777777777,1.13,imidazolium,bromide
1-Decyl-3-methylimidazolium chloride,0.02,,0.99,>25??C,8570.0,C14H27ClN2,30.0,25.0,35.0,1-Decyl-3-methylimidazolium,chloride,0.016666666666666666,6121.428571428572,0.9899999999999999,imidazolium,chloride
1-Decyl-3-methylimidazolium hexafluorophosphate,,,,30-35,,C14H27F6N2P,25.0,25.0,25.0,1-Decyl-3-methylimidazolium,hexafluorophosphate,,,,imidazolium,phosph
1-Decyl-3-methylimidazolium tetrafluoroborate,,,1.07,-4,721.0,C14H27BF4N2,25.0,20.0,18.0,1-Decyl-3-methylimidazolium,tetrafluoroborate,,1001.3888888888889,1.3375000000000001,imidazolium,tetrafluoroborate
1-Decyl-3-methylimidazolium triflate,0.41,,1.15,<RT,298.0,C15H27F3N2O3S,24.0,26.0,25.0,1-Decyl-3-methylimidazolium,triflate,0.4270833333333333,298.0,1.1057692307692306,imidazolium,triflate
1-Dodecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,0.82,,1.25,<RT,136.0,C18H31F6N3O4S2,30.0,22.0,25.0,1-Dodecyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,0.6833333333333332,136.0,1.4204545454545454,imidazolium,imid
1-Dodecyl-3-methylimidazolium bromide,,,,112,,C16H31BrN2,25.0,25.0,25.0,1-Dodecyl-3-methylimidazolium,bromide,,,,imidazolium,bromide
1-Dodecyl-3-methylimidazolium chloride,,,,150,,C16H31ClN2,25.0,25.0,25.0,1-Dodecyl-3-methylimidazolium,chloride,,,,imidazolium,chloride
1-Dodecyl-3-methylimidazolium hexafluorophosphate,,,,60,,C16H31F6N2P,25.0,25.0,25.0,1-Dodecyl-3-methylimidazolium,hexafluorophosphate,,,,imidazolium,phosph
1-Dodecyl-3-methylimidazolium tetrafluoroborate,,,,26,,C16H31BF4N2,25.0,25.0,25.0,1-Dodecyl-3-methylimidazolium,tetrafluoroborate,,,,imidazolium,tetrafluoroborate
1-Dodecyl-3-methylimidazolium triflate,,,,47,,C17H31F3N2O3S,25.0,25.0,25.0,1-Dodecyl-3-methylimidazolium,triflate,,,,imidazolium,triflate
1-Ethyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,,,,91,,C9H16F6N2O4S2,25.0,25.0,25.0,1-Ethyl-1-methylpyrrolidinium,bis(trifluoromethylsulfonyl)imide,,,,pyrrolidinium,imid
1-Ethyl-1-methylpyrrolidinium bromide,,,,>260,,C9H16BrN,25.0,25.0,25.0,1-Ethyl-1-methylpyrrolidinium,bromide,,,,pyrrolidinium,bromide
1-Ethyl-1-methylpyrrolidinium hexafluorophosphate,,,,>270,,C7H16F6NP,25.0,25.0,25.0,1-Ethyl-1-methylpyrrolidinium,hexafluorophosphate,,,,pyrrolidinium,phosph
1-Ethyl-1-methylpyrrolidinium tetrafluoroborate,,,,292,,C7H16BF4N,25.0,25.0,25.0,1-Ethyl-1-methylpyrrolidinium,tetrafluoroborate,,,,pyrrolidinium,tetrafluoroborate
1-Ethyl-1-methylpyrrolidinium triflate,,,,107,,C8H16F3NO3S,25.0,25.0,25.0,1-Ethyl-1-methylpyrrolidinium,triflate,,,,pyrrolidinium,triflate
"1-Ethyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide",3.18,4.4,1.49,25,68.5,C9H13F6N3O4S2,20.0,25.0,25.0,"1-Ethyl-2,3-dimethylimidazolium",bis(trifluoromethylsulfonyl)imide,3.975,68.5,1.49,imidazolium,imid
"1-Ethyl-2,3-dimethylimidazolium bromide",,,,140,,C7H13BrN2,25.0,25.0,25.0,"1-Ethyl-2,3-dimethylimidazolium",bromide,,,,imidazolium,bromide
"1-Ethyl-2,3-dimethylimidazolium hexafluorophosphate",,,,79,,C7H13F6N2P,25.0,25.0,25.0,"1-Ethyl-2,3-dimethylimidazolium",hexafluorophosphate,,,,imidazolium,phosph
"1-Ethyl-2,3-dimethylimidazolium tetrafluoroborate",,,,104,,C7H13BF4N2,25.0,25.0,25.0,"1-Ethyl-2,3-dimethylimidazolium",tetrafluoroborate,,,,imidazolium,tetrafluoroborate
"1-Ethyl-2,3-dimethylimidazolium triflate",,,,105,,C8H13F3N2O3S,25.0,25.0,25.0,"1-Ethyl-2,3-dimethylimidazolium",triflate,,,,imidazolium,triflate
1-Ethyl-2-methylpyridinium  bromide,,,,120,,C8H12BrN,25.0,25.0,25.0,1-Ethyl-2-methylpyridinium,bromide,,,,pyridinium,bromide
1-Ethyl-2-methylpyridinium bis(trifluoromethylsulfonyl)imide,3.71,4.4,1.51,<RT,74.8,C10H12F6N2O4S2,30.0,27.0,25.0,1-Ethyl-2-methylpyridinium,bis(trifluoromethylsulfonyl)imide,3.0916666666666663,74.8,1.3981481481481481,pyridinium,imid
1-Ethyl-3-methylimidazolium   dibutylphosphate,0.25,,,<RT,691.0,C14H29N2O4P,25.0,25.0,25.0,1-Ethyl-3-methylimidazolium,dibutylphosphate,0.25,691.0,,imidazolium,phosph
1-Ethyl-3-methylimidazolium acetate,2.5,3.2,1.1,-45,93.0,C8H14N2O2,25.0,25.0,25.0,1-Ethyl-3-methylimidazolium,acetate,2.5,93.0,1.1,imidazolium,acetate
1-Ethyl-3-methylimidazolium bis(fluorosulfonyl)imide,,,,<RT,,C6H11F2N3O4S2,25.0,25.0,25.0,1-Ethyl-3-methylimidazolium,bis(fluorosulfonyl)imide,,,,imidazolium,imid
1-Ethyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide,,,,<RT,,C10H11F10N3O4S2,25.0,25.0,25.0,1-Ethyl-3-methylimidazolium,bis(pentafluoroethylsulfonyl)imide,,,,imidazolium,imid
1-Ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,6.63,4.7,1.52,-3,39.4,C8H11F6N3O4S2,25.0,25.0,25.0,1-Ethyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,6.63,39.4,1.52,imidazolium,imid
1-Ethyl-3-methylimidazolium bromide,,,,91,,C6H11BrN2,25.0,25.0,25.0,1-Ethyl-3-methylimidazolium,bromide,,,,imidazolium,bromide
1-Ethyl-3-methylimidazolium chloride,,,,87??C,,C6H11ClN2,25.0,25.0,25.0,1-Ethyl-3-methylimidazolium,chloride,,,,imidazolium,chloride
1-Ethyl-3-methylimidazolium dicyanamide,17.7,3.0,1.1,-21,14.6,C8H11N5,25.0,25.0,25.0,1-Ethyl-3-methylimidazolium,dicyanamide,17.7,14.6,1.1,imidazolium,dicyanamide
1-Ethyl-3-methylimidazolium diethyl phosphate,0.84,5.8,,<RT,,C10H21N2O4P,25.0,25.0,25.0,1-Ethyl-3-methylimidazolium,diethyl phosphate,0.84,,,imidazolium,phosph
1-Ethyl-3-methylimidazolium dimethyl phosphate,1.86,,1.22,41,,C9H19N2O3P,30.0,22.0,25.0,1-Ethyl-3-methylimidazolium,dimethyl phosphate,1.5500000000000003,,1.3863636363636362,imidazolium,phosph
1-Ethyl-3-methylimidazolium ethyl sulfate,5.56,4.0,1.24,<RT,94.2,C8H16N2O4S,25.0,25.0,25.0,1-Ethyl-3-methylimidazolium,ethyl sulfate,5.56,94.2,1.24,imidazolium,sulfate
1-Ethyl-3-methylimidazolium hexafluorophosphate,,,,64,,C6H11F6N2P,25.0,25.0,25.0,1-Ethyl-3-methylimidazolium,hexafluorophosphate,,,,imidazolium,phosph
