label,conductivity,ECW,density,melting_point,viscosity,formula,T_conductivity,T_density,T_viscosity,cation,anion
1-Butyl-3-methylpyridinium triflate,2.35,,1.28,<RT,117,C11H16F3NO3S,30,25,25,1-Butyl-3-methylpyridinium,triflate
1-Butyl-3-vinylimidazolium bis(trifluoromethylsulfonyl)imide,1.41,,1.42,<RT,77.4,C11H15F6N3O4S2,25,25,25,1-Butyl-3-vinylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Butyl-3-vinylimidazolium bromide,,,,>RT,,C9H15BrN2,,,,1-Butyl-3-vinylimidazolium,bromide
1-Butyl-4-methylpyridinium bis(trifluoromethylsulfonyl)imide,4.32,4.2,1.41,10,53.8,C12H16F6N2O4S2,30,22,25,1-Butyl-4-methylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Butyl-4-methylpyridinium bromide,,,,118,,C10H16BrN,,,,1-Butyl-4-methylpyridinium,bromide
1-Butyl-4-methylpyridinium chloride,,,,162,,C10H16ClN,,,,1-Butyl-4-methylpyridinium,chloride
1-Butyl-4-methylpyridinium hexafluorophosphate,,,,45-50,,C10H16F6NP,,,,1-Butyl-4-methylpyridinium,hexafluorophosphate
1-Butyl-4-methylpyridinium tetrafluoroborate,3.18,,1.18,<RT,342,C10H16BF4N,30,22,20,1-Butyl-4-methylpyridinium,tetrafluoroborate
1-Butyl-4-methylpyridinium tricyanomethanide,6.99,,,<RT,32.5,C14H16N4,30,,25,1-Butyl-4-methylpyridinium,tricyanomethanide
1-Butyl-4-methylpyridinium triflate,2.41,,1.23,<RT,136,C11H16F3NO3S,30,26,25,1-Butyl-4-methylpyridinium,triflate
1-Butylpyridinium bis(trifluoromethylsulfonyl)imide,1.54,4.2,1.45,<RT,59,C11H14F6N2O4S2,25,23,25,1-Butylpyridinium,bis(trifluoromethylsulfonyl)imide
1-Butylpyridinium bromide,,,,98,,C9H14BrN,,,,1-Butylpyridinium,bromide
1-Butylpyridinium chloride,,,,131,,C9H14ClN,,,,1-Butylpyridinium,chloride
1-Butylpyridinium hexafluorophosphate,,,,75-80,,C9H14F6NP,,,,1-Butylpyridinium,hexafluorophosphate
1-Butylpyridinium tetrafluoroborate,1.94,,1.23,<RT,203,C9H14BF4N,23,22,20,1-Butylpyridinium,tetrafluoroborate
1-Decyl-3-methylimidazolium bromide,0.07,,1.13,<RT,18020,C14H27BrN2,25,25,18,1-Decyl-3-methylimidazolium,bromide
1-Decyl-3-methylimidazolium chloride,0.02,,0.99,>25??C,8570,C14H27ClN2,30,25,35,1-Decyl-3-methylimidazolium,chloride
1-Decyl-3-methylimidazolium hexafluorophosphate,,,,30-35,,C14H27F6N2P,,,,1-Decyl-3-methylimidazolium,hexafluorophosphate
1-Decyl-3-methylimidazolium tetrafluoroborate,,,1.07,-4,721,C14H27BF4N2,,20,18,1-Decyl-3-methylimidazolium,tetrafluoroborate
1-Decyl-3-methylimidazolium triflate,0.41,,1.15,<RT,298,C15H27F3N2O3S,24,26,25,1-Decyl-3-methylimidazolium,triflate
1-Dodecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,0.82,,1.25,<RT,136,C18H31F6N3O4S2,30,22,25,1-Dodecyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide
1-Dodecyl-3-methylimidazolium bromide,,,,112,,C16H31BrN2,,,,1-Dodecyl-3-methylimidazolium,bromide
1-Dodecyl-3-methylimidazolium chloride,,,,150,,C16H31ClN2,,,,1-Dodecyl-3-methylimidazolium,chloride
1-Dodecyl-3-methylimidazolium hexafluorophosphate,,,,60,,C16H31F6N2P,,,,1-Dodecyl-3-methylimidazolium,hexafluorophosphate
1-Dodecyl-3-methylimidazolium tetrafluoroborate,,,,26,,C16H31BF4N2,,,,1-Dodecyl-3-methylimidazolium,tetrafluoroborate
1-Dodecyl-3-methylimidazolium triflate,,,,47,,C17H31F3N2O3S,,,,1-Dodecyl-3-methylimidazolium,triflate
1-Ethyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,,,,91,,C9H16F6N2O4S2,,,,1-Ethyl-1-methylpyrrolidinium,bis(trifluoromethylsulfonyl)imide
1-Ethyl-1-methylpyrrolidinium bromide,,,,>260,,C9H16BrN,,,,1-Ethyl-1-methylpyrrolidinium,bromide
